primary_substance,number_2012,number_2013,number_2014,percentage_2012,percentage_2013,percentage_2014
Alcohol,707863,647989,585024,38.8,37.3,36.2
Alcohol only,391899,367484,327694,21.5,21.2,20.3
Alcohol w/secondary drug,315964,280505,257330,17.3,16.2,15.9
Opiates,479709,494247,489680,26.3,28.5,30.3
Heroin,299674,333250,357293,16.4,19.2,22.1
Other opiates/synthetics,180035,160997,132387,9.5,9.0,7.9
Non-RX methadone,5978,5095,4212,0.3,0.3,0.3
Other opiates/synthetics,174057,155902,128175,9.5,9.0,7.9
Cocaine,125995,105392,87510,6.9,6.1,5.4
Smoked cocaine,86287,71546,57493,4.7,4.1,3.6
Non-smoked cocaine,39708,33846,30017,2.2,1.9,1.9
Marijuana/hashish,317739,288917,247461,17.4,16.6,15.3
Stimulants,127268,141155,144427,7.0,8.1,8.9
Methamphetamine,117594,131270,135264,6.4,7.6,8.4
Other amphetamines,8637,9006,8395,0.5,0.5,0.5
Other stimulants,1037,879,768,0.1,0.1,
Other drugs,42191,37818,33511,2.3,2.2,2.1
Tranquilizers,18066,15916,15106,1.0,0.9,0.9
Benzodiazepines,17664,15600,14851,1.0,0.9,0.9
Other tranquilizers,402,316,255,,,
Sedatives/hypnotics,3456,3354,2821,0.2,0.2,0.2
Barbiturates,773,1004,1119,,0.1,0.1
Other sedatives/hypnotics,2683,2350,1702,0.1,0.1,0.1
Hallucinogens,2141,2157,1864,0.1,0.1,0.1
PCP,5847,5324,4910,0.3,0.3,0.3
Inhalants,1147,940,791,0.1,0.1,
Over-the-counter,1076,1060,911,0.1,0.1,0.1
Other,10458,9067,7108,0.6,0.5,0.4
None reported,25205,21029,26745,1.4,1.2,1.7
Total,1825970,1736547,1614358,100.0,100.0,100.0
