state,substate,small_area_est
Total United States,Total United States,4.31
Northeast,Northeast,3.82
Midwest,Midwest,4.21
South,South,4.30
West,West,4.78
Alabama,Alabama,5.24
Alabama,Region 1,4.88
Alabama,Region 2,5.62
Alabama,Region 3,5.12
Alabama,Region 4,5.27
Alaska,Alaska,4.72
Alaska,Anchorage,5.02
Alaska,Northern,4.61
Alaska,South Central,4.58
Alaska,Southeast,4.15
Arizona,Arizona,5.18
Arizona,Maricopa,5.37
Arizona,Pima,5.09
Arizona,Rural North,4.87
Arizona,Rural South,4.67
Arkansas,Arkansas,5.21
Arkansas,Catchment Area 1,5.06
Arkansas,Catchment Area 2,4.83
Arkansas,Catchment Area 3,5.64
Arkansas,Catchment Area 4,5.25
Arkansas,Catchment Area 5,5.56
Arkansas,Catchment Area 6,5.18
Arkansas,Catchment Area 7,5.05
Arkansas,Catchment Area 8,5.08
California,California,4.76
California,Region 1R,5.26
California,Region 2R,5.23
California,Region 3R (Sacramento),4.78
California,Region 4R,4.66
California,Region 5R (San Francisco),4.76
California,Region 6 (Santa Clara),4.36
California,Region 7R (Contra Costa),4.54
California,Region 8R (Alameda),4.56
California,Region 9R (San Mateo),4.28
California,Region 10,4.93
California,Region 11 (Los Angeles),4.72
California,LA SPA 1 and 5,4.92
California,LA SPA 2,4.76
California,LA SPA 3,4.23
California,LA SPA 4,4.81
California,LA SPA 6,5.49
California,LA SPA 7,4.76
California,LA SPA 8,4.49
California,Region 12R,4.67
California,Regions 13 and 19R,4.84
California,Region 14 (Orange),4.38
California,Region 15R (Fresno),5.11
California,Region 16R (San Diego),4.93
California,Region 17R,4.88
California,Region 18R (San Bernardino),4.80
California,Region 20R,5.08
California,Region 21R,5.19
Colorado,Colorado,5.03
Colorado,Region 1,5.89
Colorado,Regions 2 and 7,4.99
Colorado,Region 3,4.73
Colorado,Region 4,4.58
Colorado,Regions 5 and 6,4.84
Connecticut,Connecticut,3.55
Connecticut,Eastern,3.93
Connecticut,North Central,3.79
Connecticut,Northwestern,3.26
Connecticut,South Central,3.44
Connecticut,Southwest,3.36
Delaware,Delaware,4.70
Delaware,Kent,4.77
Delaware,New Castle (excluding Wilmington City),4.85
Delaware,Sussex,4.30
Delaware,Wilmington City,4.73
District of Columbia,District of Columbia,4.13
District of Columbia,Ward 1,4.62
District of Columbia,Ward 2,5.06
District of Columbia,Ward 3,4.05
District of Columbia,Ward 4,3.45
District of Columbia,Ward 5,4.06
District of Columbia,Ward 6,4.10
District of Columbia,Ward 7,3.67
District of Columbia,Ward 8,3.90
Florida,Florida,3.47
Florida,Broward (Circuit 17),3.42
Florida,Central I,3.61
Florida,Circuit 9,3.71
Florida,Circuit 18,3.47
Florida,Central II,3.45
Florida,Circuit 6,3.37
Florida,Circuit 10,3.55
Florida,Circuit 12,3.06
Florida,Circuit 13 (Hillsborough),3.67
Florida,Circuit 20,3.50
Florida,Northeast,3.60
Florida,Circuit 4,3.62
Florida,Circuit 5,3.19
Florida,Circuit 7,3.50
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",4.55
Florida,Northwest,4.12
Florida,Circuit 1,4.01
Florida,Circuit 2 plus Madison and Taylor,4.42
Florida,Circuit 14,3.96
Florida,South (Circuits 11 and 16),2.95
Florida,Southeast,3.40
Florida,Circuit 15 (Palm Beach),3.41
Florida,Circuit 19,3.38
Georgia,Georgia,4.47
Georgia,Region 1,4.49
Georgia,Region 2,4.96
Georgia,Region 3,4.18
Georgia,Region 4,4.59
Georgia,Region 5,4.77
Georgia,Region 6,4.30
Hawaii,Hawaii,4.64
Hawaii,Hawaii Island,4.37
Hawaii,Honolulu,4.73
Hawaii,Kauai,4.26
Hawaii,Maui,4.57
Idaho,Idaho,4.29
Idaho,Region 1,3.88
Idaho,Region 2,4.26
Idaho,Region 3,4.05
Idaho,Region 4,4.72
Idaho,Region 5,3.98
Idaho,Region 6,4.56
Idaho,Region 7,4.21
Illinois,Illinois,3.59
Illinois,Region I (Cook),3.47
Illinois,Region II,3.57
Illinois,Region III,3.96
Illinois,Region IV,3.56
Illinois,Region V,3.74
Indiana,Indiana,4.98
Indiana,Central,5.08
Indiana,East,5.14
Indiana,North Central,4.70
Indiana,Northeast,4.87
Indiana,Northwest,4.93
Indiana,Southeast,4.91
Indiana,Southwest,4.62
Indiana,West,5.46
Iowa,Iowa,3.76
Iowa,Central,3.61
Iowa,North Central,3.98
Iowa,Northeast,3.83
Iowa,Northwest,3.65
Iowa,Southeast,3.88
Iowa,Southwest,3.50
Kansas,Kansas,4.03
Kansas,Kansas City Metro,4.06
Kansas,Northeast,4.09
Kansas,South Central,3.91
Kansas,Southeast,4.25
Kansas,West,3.85
Kansas,Wichita (Sedgwick),4.02
Kentucky,Kentucky,4.31
Kentucky,"Adanta, Cumberland River, and Lifeskills",4.11
Kentucky,"Bluegrass, Comprehend, and North Key",4.53
Kentucky,Communicare and River Valley,4.15
Kentucky,Four Rivers and Pennyroyal,4.07
Kentucky,"Kentucky River, Mountain, and Pathways",4.15
Kentucky,Seven Counties,4.43
Louisiana,Louisiana,4.79
Louisiana,Regions 1 and 10,4.61
Louisiana,Region 1,4.63
Louisiana,Region 10 (Jefferson),4.60
Louisiana,Regions 2 and 9,5.30
Louisiana,Region 3,4.70
Louisiana,"Regions 4, 5, and 6",4.59
Louisiana,Regions 7 and 8,4.56
Maine,Maine,3.59
Maine,Aroostook/Downeast,3.41
Maine,Aroostook,3.35
Maine,Downeast,3.46
Maine,Central,3.63
Maine,Cumberland,3.55
Maine,Midcoast,3.18
Maine,Penquis,3.83
Maine,Western,3.87
Maine,York,3.55
Maryland,Maryland,4.07
Maryland,Anne Arundel,4.14
Maryland,Baltimore City,4.60
Maryland,Baltimore County,4.26
Maryland,Montgomery,3.70
Maryland,North Central,3.75
Maryland,Northeast,4.18
Maryland,Prince George's,3.96
Maryland,South,4.12
Maryland,West,4.12
Massachusetts,Massachusetts,3.49
Massachusetts,Boston,4.15
Massachusetts,Central,3.67
Massachusetts,Metrowest,3.26
Massachusetts,Northeast,3.29
Massachusetts,Southeast,3.40
Massachusetts,Western,3.55
Michigan,Michigan,4.36
Michigan,Region 1,3.96
Michigan,Region 2,3.68
Michigan,Region 3,4.34
Michigan,Region 4,4.41
Michigan,Region 5,4.74
Michigan,Region 6,4.12
Michigan,Region 7,4.37
Michigan,Region 8,4.07
Michigan,Region 9,4.40
Michigan,Region 10,4.76
Minnesota,Minnesota,3.41
Minnesota,Regions 1 and 2,3.47
Minnesota,Regions 3 and 4,3.50
Minnesota,Regions 5 and 6,3.43
Minnesota,Region 7A (Hennepin),3.19
Minnesota,Region 7B (Ramsey),3.69
Minnesota,Region 7C,3.37
Mississippi,Mississippi,4.76
Mississippi,Region 1,5.22
Mississippi,Region 2,4.73
Mississippi,Region 3,4.58
Mississippi,Region 4,4.48
Mississippi,Region 5,4.54
Mississippi,Region 6,4.75
Mississippi,Region 7,4.67
Missouri,Missouri,4.21
Missouri,Central,4.51
Missouri,Eastern,4.04
Missouri,Eastern (St. Louis City and County),3.92
Missouri,Eastern (excluding St. Louis),4.26
Missouri,Northwest,4.14
Missouri,Northwest (Jackson),4.02
Missouri,Northwest (excluding Jackson),4.25
Missouri,Southeast,4.32
Missouri,Southwest,4.32
Montana,Montana,3.46
Montana,Region 1,3.17
Montana,Region 2,3.46
